track,artist,popularity,lyrics
Seamin Tak Seiman,Mahen,65,"Salahkah hatiku, jatuh hati pada dirimu
Oh Tuhan, ternyata hanya tak mungkin kan tersatukan
Kita adalah ketidakmungkinan yang selalu ku semogakan
Ditemukan namun salah
Cinta menyatukan kita yang tak sama
Aku yang menengadah dan tangan kau genggam
Berjalan salah, berhenti pun tak mudah
Apakah kita salah?
Satu hal yang kutahu
Kita seamin tak seiman
Berbeda berujar pada kata akhir yang sama
Kita adalah ketidakmungkinan yang selalu ku semogakan
Ditemukan namun salah
Cinta menyatukan kita yang tak sama
Aku yang menengadah dan tangan kau genggam
Berjalan salah, berhenti pun tak mudah
Apakah kita salah?"
Tanggung Jawab,Juicy Luicy,62,"Lagu ini menceritakan bagaimana perasaan seseorang yang ditinggalkan secara sepihak oleh pasangannya tanpa ada kabar. Lagu ini dinilai relate dengan orang-orang yang pernah di ghosting. Yuk intip liriknya di bawah ini!
Siapa dia, tersenyum di belakang?
Kekasihmukah atau sekedar teman?
Apakah ini alasan kau menghilang?
Sudah bahagia, lalu ku kau tinggalkan
Masih ingatkah saat kau menangis dan mengaduh?
Sudah lupakah saat kau berkata, ""Hanya ada aku""?
Sudah ku jatuh cinta
Kau pergi senikmatnya
Tanggung jawabmu mana?
Tega atau tak peka?
Sempat di atas angin
Kini kau bilang tak mungkin
Kau buat kesedihanku semakin
Apakah ini alasan kau menghilang?
Sudah bahagia, lalu ku kau tinggalkan
Masih ingatkah saat kau menangis dan mengaduh?
Sudah lupakah saat kau berkata, ""Hanya ada aku""?
Sudah ku jatuh cinta
Kau pergi senikmatnya
Tanggung jawabmu mana?
Tega atau tak peka?
Sempat di atas angin
Kini kau bilang tak mungkin (tak mungkin)
Kau buat kesedihanku semakin
Mana hatimu? Di mana? (Tanggung jawabmu mana?)
Di, tanggung jawabmu mana?
sudah ku
(Kau pergi senikmatnya) kau pergi senikmatnya
(Tanggung jawabmu mana?)
(Tega atau tak peka?)
Oh, sudah ku jatuh cinta
Kau pergi senikmatnya
(Tanggung jawabmu mana?) Uh, tanggung jawabmu mana?
Tega atau tak peka?
Sempat di atas angin (sempat di atas angin)
Kini kau bilang tak mungkin (tak mungkin)
Kau buat kesedihanku semakin"
Menjadi Dia,Tiara Andini,62,"Menjadi Dia merupakan salah lagu dari Tiara Andini penyanyi asal Indonesia yang dirilis pada tahun 2021 lalu. Mari kita simak liriknya di bawah ini.
Aku ingat waktu kamu bilang
Ku harus jadi seperti dia
Aku hanya aku
Yang sederhana
Tapi cintaku
Boleh kau adu
Kumengerti tapi tak bisa
Kuingin cinta apa adanya
Jika harus menjadi dia
Lebih baik pergi walau aku yang terluka
Saat matahari terbenam
Cintaku takkan pernah tenggelam
Engkau masih menjajahku
Di setiap langkahku
Namun adakah
Kau benar untukku
Ku mengerti tapi tak bisa
Ku ingin cinta apa adanya
Jika harus menjadi dia
Lebih baik pergi walau aku yang terluka
Oh
Adakah cara lain tuk bahagia
Selamanya denganmu
Kumengerti tapi tak bisa
Kuingin cinta apa adanya
Jika harus menjadi dia
Lebih baik pergi walau aku yang terluka
Tapi tak bisa
Kuingin cinta apa adanya
Jika harus menjadi dia
Lebih baik pergi walau aku yang terluka
Lebih baik pergi walau hatiku terluka"
Angin Kencang,Noh Salleh,62,"Dalam silauan cahaya
Membatas pandangan mata
Namun jelas ku lihat kamu
Biarpun ku sedar kau kian jauh
Tinggalkan aku yang rapuh
Angin kencang membawa kau
Jauh ke sana
Kau hilang terus tanpa khabar
Tidur malam ku mimpi indah ingat kamu
Ku merindui kamu
Apa yang ku fikirkan
Inilah penyiksaan
Biarpun beribu tahun
Dan namun kau sentiasa dihatiku
Menuai senyumanmu
Angin kencang membawa kau
Jauh ke sana
Kau hilang terus tanpa khabar
Tidur malam ku mimpi indah ingat kamu
Ku merindui kamu
Angin kencang membawa kau
Jauh ke sana
Kau hilang terus tanpa khabar
Tidur malam ku mimpi indah ingat kamu
Angin kencang membawa kau
Jauh ke sana
Kau hilang terus tanpa khabar
Tidur malam ku mimpi indah ingat kamu
Ku merindui kamu
Ku merindui kamu
Ku merindui kamu"
Teman Bahagia,Jaz,61,"takkan pernah terlintas
tuk tinggalkan kamu
jauh dariku kasihku
karena aku milikmu
kamu milikku
separuh nyawaku
hidup bersamamu
berdua kita lewati
meski hujan badai
takkan berhenti
sehidup semati
mentari pun tau
ku cinta padamu
percaya aku takkan kemana mana
aku kan selalu ada
temani hingga hari tua
percaya aku takkan kemana mana
setia akan ku jaga
kita teman bahagia
takkan pernah kulupa
kamu yang kucinta
dari ujung kaki
hingga ke ujung kepala
aku ingin kamu
kamu yang kumau
belahan jiwaku
kamu masa depanku
berdua kita lewati
meski hujan badai takkan berhenti
sehidup semati
mentari pun tau
ku cinta padamu
percaya aku takkan kemana mana
aku kan selalu ada
temani hingga hari tua
percaya aku takkan kemana mana
setia akan ku jaga
kita teman bahagia
setia kan ku jaga
kita teman bahagia
percaya aku takkan kemana mana
aku kan selalu ada
temani hingga hari tua
percaya aku takkan kemana mana
setia akan ku jaga
kita teman bahagia
aku milikmu
kamu milikku
aku kan s'lalu ada
hingga di hari tua
percaya aku takkan kemana mana
setia akan ku jaga
kita teman bahagia"
Lugu,Celine & Nadya,60,"Kunikmati kebahagian ini
Tak mengapa tak ada dirimu
Ada teman-teman yang menemani
Aku sudah tak bodoh lagi
Seperti waktu kau bohongi aku
Sampai ku tertipu
tapi akhirnya kumove on darimu
Kumemang masih lugu hanya tau kamu
Dan tak berfikir untuk dekat yang lain
Kini ku tahu kamu ku tahu aslimu
Sorry-sorry kusudah lupakan kamu
Akhirnya ku bisa lupakan kamu
Kamu yang pernah baperin aku
Cukup-cukup sudah tak mau lagi
Aku sudah tak bodoh lagi
Takkan lagi ku tertipu oleh bujuk rayumu
Takkan mempan gombalanmu lagi"
Janji Kita,Mahalini,59,"Janji Kita merupakan salah lagu dari Mahalini penyanyi asal Indonesia yang dirilis pada tahun 2021 lalu. Mari kita simak liriknya di bawah ini.
Di dalam hati ini
Hanya ada satu cinta
Dan itu cuma ada di kamu
Kamu
Dan kamu cinta pertama di hidupku
Dan aku berjanji
Kau jadi cinta terakhirku
Aku pun merasakan sama
Saat kau hadir di hidupku oh
Kumerasakan cinta yang tulus
Dari dirimu oh
Janji kita berdua
Semoga s'lamanya
Kau dan aku jadi satu
Di dalam ikatan cinta kita
Tanpamu aku tak akan bisa
Merasakan cinta sempurna
Kau lengkapiku kamulah cinta
Yang dikirim Tuhan untukku oh
Aku pun merasakan sama
Saat kau hadir di hidupku
Kumerasakan cinta yang tulus
Dari dirimu oh
Janji kita berdua
Semoga s'lamanya
Kau dan aku jadi satu
Di dalam ikatan cinta kita
Tanpamu aku tak akan bisa
Merasakan cinta sempurna
Kau lengkapiku
Kamulah cinta
Yang dikirim Tuhan untukku
Selamanya
Bersama
Kamu aku kita
Dalam ikatan cinta
Janji kita berdua
Kita
Kau dan aku jadi satu
Di dalam ikatan cinta kita
Tanpamu aku tak akan bisa
Merasakan cinta sempurna
Kau lengkapiku oh
Kau lengkapiku
Kamulah cinta untukku
Yang dikirim Tuhan untukku"
Seamin Tak Seiman,Mahen,58,"Salahkah hatiku, jatuh hati pada dirimu
Oh Tuhan, ternyata hanya tak mungkin kan tersatukan
Kita adalah ketidakmungkinan yang selalu ku semogakan
Ditemukan namun salah
Cinta menyatukan kita yang tak sama
Aku yang menengadah dan tangan kau genggam
Berjalan salah, berhenti pun tak mudah
Apakah kita salah?
Satu hal yang kutahu
Kita seamin tak seiman
Berbeda berujar pada kata akhir yang sama
Kita adalah ketidakmungkinan yang selalu ku semogakan
Ditemukan namun salah
Cinta menyatukan kita yang tak sama
Aku yang menengadah dan tangan kau genggam
Berjalan salah, berhenti pun tak mudah
Apakah kita salah?"
Yang Terdalam,Noah,58,"Kulepas semua yang kuinginkan
Tak akan ku ulangi
Maafkan jika kau ku sayangi
Dan bila ku menanti
Pernahkah engkau coba mengerti
Lihatlah ku disini
Mungkinkah jika aku bermimpi
Salahkah tuk menanti
Tak kan lelah aku menanti
Tak kan hilang cinta ku ini
Hingga saat kau tak kembali
Kan ku kenang dihati saja
Kau telah tinggalkan hati yang terdalam
Hingga tiada cinta yang tersisa di jiwa"
Serta Mulia,Sal Priadi,57,"Milyar-milyar, juta-juta, ratus-ratus sekian
Kemungkinan orang di dunia kamu dapatnya aku
Tampang tak seberapa, keren juga relatif
Tapi masalah funny bolehlah skill itu diadu
Penuh senang kan ya, jalani ini bersamaku
Meski sering kelakuanku
Keras kepalaku ganggu
Serta mulia, panjang umurnya
Damai sentosa kita bersama
Serta mulia, panjang umurnya
Damai sentosa kita bersama
Milyar-milyar, juta-juta, ratus-ratus sekian
Kemungkinan orang di dunia, kamu dapatnya aku
Badannya belum kekar, sementara bisa melar
Tapi hatinya baik, fufufufufufufufufu
Penuh senang kan ya, jalani ini bersamaku
Meski sering kelakuanku
Keras kepalaku ganggu
Serta mulia, panjang umurnya
Damai sentosa kita bersama (kita bersama)
Serta mulia, panjang umurnya
Damai sentosa kita bersama
Sekarang dan milyar-milyar
Juta-juta ratus tahun lagi
Ulangi Tahun yang
Penuh bahagia bersamaku
(Bersamaku, bersamaku, bersamaku)"
Cara Mencintaimu,Anggi Marito,57,"Berjuang untuk di hatimu
Di kala ku harus berkorban
Tuk dapatkan cintamu
Tuk dapatkan hatimu
Seutuhnya
Bertahan untuk di hatimu
Di kala ku harus mengalah
Ku ingin engkau tahu
Ku harap kau mengerti cintaku
Inilah caraku
Mencintai dirimu
Sampai kau tak ragukan cintaku
Ku tak kan berubah
Hingga akhir waktu
Sampai kau bahagia bersamaku
Bertahan untuk di hatimu
Di kala ku harus mengalah
Ku ingin engkau tahu
Ku harap kau mengerti cintaku
Inilah caraku
Mencintai dirimu
Sampai kau tak ragukan cintaku
Ku tak kan berubah
Hingga akhir waktu
Sampai kau bahagia bersamaku
Jaga hatimu untukku
Saat kau tak di sisiku
Walau sulit ku berharap
Ku mau kita selalu bersama
Inilah caraku
Mencintai dirimu
Sampai kau tak ragukan cintaku
Inilah caraku mencintai dirimu
Sampai engkau tak ragukan
Ragukan cintaku
Ku tak kan berubah
Hingga akhir waktu
Sampai kau bahagia bersamaku."
Gemintang Hatiku,Tiara Andini,57,"Sejak pertama bertemu dirinya
Hati tak bisa berpaling darinya
Tak ada setitik ragu
Jalani sisa hidup bersama
Hati ini?terbius?candu asmaramu
Namamu melintang?dihatiku
Kemilau gemintang dihatiku
Senyumanmu oh kasih hiasi?bingkai asmaraku
Kau menjadi bintang di hatiku
Kemilau gemintang di hatiku
Meski mentari terangi dunia
Sinar matamu kalahkan semua cahaya
Tak ada setitik ragu
Jalani sisa hidup bersama
Hati ini terbius candu asmaramu
Namamu melintang dihatiku
Kemilau gemintang dihatiku
Senyumanmu oh kasih hiasi bingkai asmaraku
Kau menjadi bintang di hatiku
Kemilau gemintang di hatiku
Tak ada kata yang mampu melukiskan rasa
Cerita antara kita berdua
Wahai pelita nurani
Sinarmu terang abadi
Hati ini terbius candu asmaramu
Namamu melintang dihatiku
Kemilau gemintang dihatiku
Senyumanmu oh kasih hiasi bingkai asmaraku
Kau menjadi bintang di hatiku
Kemilau gemintang di hatiku"
Seperti Kisah,Rizky Febian,57,"Seperti kisah yang pernah ada
Kaulah bidadari hati
Kita bersama buat cerita
Cinta antara kita
Ku pernah terluka
Kadang tak berdaya
Kau slalu ada
Buatku tertawa
Dan lupakan lara
Tak tau bagaimana
Aku tanpa dirimu
Tak pernah terbayangkan
Sepi merindu
Ku mohon padamu
Tetaplah kau di sampingku
Hilangkan ragu
Semua yang kan menggangu
Ku cinta padamu
Kasihku
Kita bersama buat cerita
Cinta antara kita
Ku pernah terluka
Kadang tak berdaya
Kau slalu ada
Buatku tertawa
Dan lupakan lara
Tak tau bagaimana
Aku tanpa dirimu
Tak pernah terbayangkan
Sepi merindu
Ku mohon padamu
Tetaplah kau di sampingku
Hilangkan ragu
Semua yang kan menggangu
Ku cinta padamu
Kasihku
Biarkan cita
Yang jadi saksinya
Kita kan slalu bersama
Merangkai di setiap kisah semua
Dengan dirimu
Untuk selamanya
Tak tau bagaimana
Aku tanpa dirimu
Tak pernah terbayangkan
Sepi merindu
Ku mohon padamu
Tetaplah kau di sampingku
Hilangkan ragu
Semua yang kan menggangu
Ku cinta padamu
Kasihku
Bila rindu pun melanda terhadapmu
Serasa hati gelisah
Bila rindu pun melanda terhadapmu
Serasa hati gelisah"
Tenang,Yura Yunita,56,"Dialog dini hari
Kepada diriku sendiri
Tak bisa ku tertidur lagi
Melayang pikirku tak pasti
Dialog dini hari
Resah gelisah mengiringi
Berharap ada yang mengerti
Berharap kau ada di sini
Tenang, tenang yang tak kunjung datang
Menanti-nanti cahaya-Mu, beri aku petunjuk-Mu
Tenang, tenang, oh, datanglah tenang hari ini
Dialog dini hari
Resah gelisah mengiringi
Berharap ada yang mengerti
Berharap kau ada di sini
Tenang, tenang yang tak kunjung datang
Menanti-nanti cahaya-Mu, beri aku petunjuk-Mu
Kadang-kadang kelam ini datang menghampiri, oh-oh
Tenang, tenang yang tak kunjung datang
Menanti-nanti cahaya-Mu, beri aku petunjuk-Mu
Tenang, tenang, oh, datanglah tenang hari ini
Tenang, tenang yang tak kunjung datang
Menanti-nanti cahaya-Mu, beri aku petunjuk-Mu
Kadang-kadang kelam ini datang menghampiri, oh-oh
Tenang, tenang yang tak kunjung datang
Menanti-nanti cahaya-Mu, beri aku petunjuk-Mu
Tenang, tenang, oh, datanglah tenang hari ini
Jauhkanku dari sedih itu
Aku merindu padamu
Jauhkanku dari gelap itu
Aku kembali pada-Mu"
Sampaikan Pada Yesus,Melitha Sidabutar,56,"Saat dunia kecewakan
Dan tak ada satupun yang peduli
Dia peduli
Saat dunia menyakitkan
Bahkan yang terdekat pergi meninggalkanku
Dia ada
Sampaikan pada Yesus
Segala beban hidupmu
Dia hanya sejauh doa
Saat kau berseru
Sampaikan pada Yesus
Dia mengerti hatimu
Dia mengerti air matamu
Dan memulihkanmu
Saat dunia kecewakan
Dan tak ada satupun yang peduli
Dia peduli
Saat dunia menyakitkan
Bahkan yang terdekat pergi meninggalkanmu
Dia ada
Sampaikan pada Yesus
Segala beban hidupmu
Dia hanya sejauh doa
Saat kau berseru
Sampaikan pada Yesus
Dia mengerti hatimu
Dia mengerti air matamu
Dan memulihkanmu
Sampaikan pada Yesus
Segala beban hidupmu
Dia hanya sejauh doa
Saat kau berseru
Yesus
(Dia mengerti air matamu)
(Memulihkanmu)
Memulihkanmu
Dia mengerti air matamu
Dan memulihkanmu"
Wanita Munafik,Sejedewe,55,"Hey kau wanita munafik
Jangan kau tutupi parasmu
Wajahmu memanglah cantik
Tapi mengapa otak tak maju
Dan kau wanita munafik
Banyak alasan tuk jauhiku
Seribu cara engkau rakit
Agar terus bisa bersamaku
Mulai memancing perasaan cinta
Kau pasang umpan wajah yang menggoda
Kau tutupi semua kesalahan
Kau putar cerita untuk berdusta
Kau pikir kau menarik
Kau wanita munafik
Kau pikir ku tertarik
Kau wanita munafik
Mulai memancing perasaan cinta
Kau pasang umpan wajah yang menggoda
Kau tutupi semua kesalahan
Kau putar cerita untuk berdusta
Kau pikir kau menarik
Kau wanita munafik
Kau pikir ku tertarik
Kau wanita munafik
Kau pikir kau menarik
Kau wanita munafik
Kau pikir ku tertarik
Kau wanita munafik"
Mendung Tanpo Udan,Ndarboy Genk,55,"Mendung tanpo udan
Ketemu lan kelangan
Kabeh kuwi sing diarani perjalanan (perjalanan)
Awakdewe tau duwe bayangan
Besok yen wis wayah omah-omahan
Aku moco koran sarungan
Kowe belonjo dasteran (belonjo dasteran)
Nanging saiki wis dadi kenangan
Aku karo kowe wis pisahan
Aku kiri kowe kanan
Wis bedo dalan
Mlaku bebarengan
Bendino sayang-sayangan
Sedih lan kebahagiaan
Dilewati tahun-tahunan
Padu meneng-menengan
Bar kuwi kangen-kangenan
Kadang bedo pilihan
Nganti pedot balikan (medot balikan)
Mendung tanpo udan
Ketemu lan kelangan
Kabeh kuwi sing diarani perjalanan
Awakdewe tau duwe bayangan
Besok yen wis wayah omah-omahan
Aku moco koran sarungan
Kowe belonjo dasteran
Nanging saiki wis dadi kenangan
Aku karo kowe wis pisahan
Aku kiri kowe kanan
Wis bedo dalan
Mendung tanpo udan
Ketemu lan kelangan
Kabeh kuwi sing diarani perjalanan
Awakdewe tau duwe bayangan
Besok yen wis wayah omah-omahan
Aku moco koran sarungan
Kowe belonjo dasteran
Nanging saiki wis dadi kenangan
Aku karo kowe wis pisahan
Aku kiri kowe kanan
Wis bedo dalan
Awakdewe tau duwe bayangan
Besok yen wis wayah omah-omahan
Aku moco koran sarungan
Kowe belonjo dasteran
Nanging saiki wis dadi kenangan
Aku karo kowe wis pisahan
Aku kiri kowe kanan
Wis bedo dalan
Aku kiri kowe kanan
Wis bedo dalan (dalan)"
Istirahat,Nosstress,55,"Aku bisa habiskan selamanya
'Tuk kagumi bintang
Andai aku punya selamanya
Lama sudah ku nanti
Hari tuk istirahatkan bumi
Andai ini tak hanya sehari
Wahai bintang jatuh
Ku tahu kau lelah
Begitu banyak harap terbeban padamu
Terangnya angkasa membuatku terpaku
Semoga harap berisikan
Banyak doa dan cinta untukmu
Hai, kawanku manusia
Istirahatlah sebentar saja
Untuk ia dan bumi manusia
Wahai bintang jatuh
Ku tahu kau lelah
Begitu banyak harap terbeban padamu
Terangnya angkasa membuatku terpaku
Semoga harap berisikan
Banyak doa dan cinta untukmu
Hai, kawanku manusia
Istirahatlah sebentar saja
Untuk ia dan bumi manusia
Untuk ia dan bumi manusia
Untuk ia dan bumi manusia"
Ibu,Iwan Fals,55,"Ribuan kilo jalan yang kau tempuh
Lewati rintang untuk aku anakmu
Ibuku sayang masih terus berjalan
Walau tapak kaki, penuh darah... penuh nanah
Seperti udara... kasih yang engkau berikan
Tak mampu ku membalas...ibu...ibu
Ingin kudekat dan menangis di pangkuanmu
Sampai aku tertidur, bagai masa kecil dulu
Lalu doa-doa baluri sekujur tubuhku
Dengan apa membalas...ibu...ibu....
Seperti udara... kasih yang engkau berikan
Tak mampu ku membalas...ibu...ibu"
menangis di jalan pulang,Nadin Amizah,55,"Lagu dan serapah terdengar di mobilmu
Saling mencekik, mencerna, kata makian
Jangan, jangan ucap kata itu lagi
Jangan lupa kita saling mencintai
Dan senayan menjadi saksi
Bodoh dan sayang, hancur lebur kita terjadi
Kita menangis di perjalanan pulang
Mencari jalan tak pernah sampai tujuan
Terlanjur hangus terburai dan berantakan
Saling cela, saling luka
Lupa apa arti kata cinta
Saling cela, saling luka
Lupa apa arti kata cinta
Saling cela, saling luka
Lupa apa arti kata cinta
Saling cela, saling luka
Lupa apa arti kata cinta
Sudah lelah, sudah muak
Badai kita tak 'kan kunjung reda
Sudah lelah, sudah muak
Badai kita tak 'kan kunjung reda"
Menyerah,Last Child,54,"Tolong lihat mataku
Dan coba akui semua
Tentang perasaanmu
Yang engkau simpan untuknya
Bila memang dia
Ku akan menyerah
Untuk kamu kucoba
'Tuk jadi yg terbaik
Demi kau ku berjuang
Tuk jadi yg terhebat
Meski cinta ini searah dan sia-sia
Jangan pernah bertanya mengapa ku menyerah
Karna sesungguhnya
Aku bukan lah aku tak kau ingin kan
Yang engkau inginkan
Lebih baik bagiku
'Tuk tau yang sebenar nya
Meski kau menyayat hatiku
Dengan tajam sebuah kata
Aku tak sanggup membenci
Meski kau buat aku rasakan
Patah hati sedalam ini
Ku hanya ingin berhenti
Merasakan semuanya dan
Menyeraaaaahhhh"
Mencintai Dengan Ngeyel,Vadesta,54,"Ra kabeh sing mbok tresnani
Mbalik nresnani kowe
Tapi kowe tetep ngeyel wae
Piye kabarmu, tresnaku sing wingi?
Apa pilihanmu wis dadi karepe ati?
Yen tak sawang, esemmu saya ilang
Apa kowe ra entuk kebahagiaan?
Apa ra kesel atimu
Nutupi rasa gengsimu?
Apa ra kesel atimu
Merjuangke tresna semu?
Ra kabeh sing mbok perjuangke
Kuwi ngerti kowe
Tapi kowe tetep merjuangke dheke
Ra kabeh sing mbok tresnani
Mbalik tresnani kowe
Tapi kowe tetep ngeyel wae
Mbesuk yen kowe uwis ora krungu kabarku (we-ah)
Ngapuranen aku wis tau ngarepke kowe (wenak, jomblo)
Begitu dalam, nganti aku sadar (ya)
Yen tresnamu dudu dinggo aku
Ra kabeh sing mbok perjuangke
Kuwi ngerti kowe
Tapi kowe tetep merjuangke dheke (ya-ya-ya)
Ra kabeh sing mbok tresnani
Mbalik nresnani kowe (wa-a-aw)
Tapi kowe tetep ngeyel wae
Besuk yen kowe uwis ora krungu kabarku
Ngapuranen aku wis tau ngarepke kowe
Begitu dalam, nganti aku sadar (slok-oslok, ya-ya)
Yen tresnamu dudu dinggo aku
Yen tresnamu dudu dinggo aku
Yen tresnamu dudu dinggo aku"
Bulan Yang Baik,Sal Priadi,54,"Dengan kekuatan bulan yang paling baik
Harapanku besar dunia kembali asyik
Kelak langit terang aku bisa terbang
Juga meski mendung tetap bebas 'tuk berkunjung
Lari ke hadapan orang yang kusayang
Tuhan bolehkah ini yang aku perjuangkan?
Ingin kubenamkan wajahku penuh
Di telapak tanganmu yang wangi
Dan terbuka
Nyaman menenangkan
Ingin kubenamkan wajahku penuh
Di telapak tanganmu yang wangi
Dan terbuka
Nyaman menenangkan
Dengan kekuatan bulan yang paling baik
Harapanku besar dunia kembali asyik
Lari ke hadapan orang yang kusayang
Tuhan bolehkah ini yang aku perjuangkan?
Ingin kubenamkan wajahku penuh
Di telapak tanganmu yang wangi
Dan terbuka
Nyaman menenangkan, ingin segera
Ingin kubenamkan wajahku penuh
Di telapak tanganmu yang wangi
Dan terbuka (di telapak tanganmu yang ...)
Nyaman menenangkan
Inginku
Tenggelamkan wajahku
Di telapak tanganmu yang ..."
seperti takdir kita yang tulis,Nadin Amizah,54,"Kuingat lagi di kamar ini
Kita bermimpi akan menjadi
Angan tak pasti kicau berani
Seperti takdir kita yang tulis
Apakah masih kau simpan perih?
Aku mengerti, aku mengerti
Perihal maaf jangan kau beri
Aku mengerti, aku mengerti
Bagaimana dengan tidurmu?
Apakah masih terjerat aku?
Lalu, lalu, lalu, lalu
Bagaimana waktu berhenti bodoh di masa lalu?
Lalu, lalu, lalu
Secepatnya aku berhenti berjalan
Bahu dan bahu terbayang lesu
Masih tertawa, tak tahu apa
Akhir yang ada menanti kita
Sekali lagi kuingat lagi
Bagaimana dengan bangunmu?
Apakah masih berat tak mau?
Lalu, lalu, lalu, lalu
Bagaimana waktu berhenti bodoh di masa lalu?
Lalu, lalu, lalu
Secepatnya aku berhenti berjalan
Lalu, lalu, lalu, lalu
Bagaimana waktu berhenti bodoh di masa lalu?
Lalu, lalu, lalu
Secepatnya aku berhenti berjalan"
Bukan Cinta Manusia Biasa,Dewa 19,53,"Ku tetap mencintaimu masih
Meski kau tak cinta aku
Ku tetap merindukan
Meski kau tak pernah merasa
Sedikit pun untuk merindukan aku
Reff:
Cintaku ini bukan cinta milik manusia biasa
Cintaku ini cinta sejati yang paling sejati
Ku tetap memaafkan salahmu
Meski kau terus sakiti
Ku tetap menerima
Seribu kata maaf
Yang selalu kau ucapkan
Dari bibirmu yang manis
Repeat Reff
Ku tetap mencintaimu masih
Meski kau tak cinta aku
Ku tetap merindukan
Meski kau tak pernah merasa sedikit pun
Untuk merindukan diriku
Merindukan aku
Repeat Reff [2x]"
Aku Bukan Jodohnya,Tri Suaka,55,"Ini salahku
Terlalu memikirkan egoku
Tak mampu buatmu
Bersanding nyaman denganku
Hingga kau pergi tinggalkan aku
Terlambat sudah
Kini kau tlah menemukan dia
Seseorang yang mampu
Membuatmu bahagia
Ku ikhlas kau bersanding dengannya
Aku titipkan dia
Lanjutkan perjuanganku untuknya
Bahagiakan dia
Kau sayangi dia
Seperti ku menyayanginya
Kan ku ikhlaskan dia
Tak pantas ku bersanding dengannya
Kan ku terima dengan lapang dada
Aku bukan jodohnya"
Semua Tentang Kita,Noah,53,"Waktu terasa semakin berlalu
Tinggalkan cerita tentang kita
Akan tiada lagi kini tawamu
Tuk hapuskan semua sepi di hati
Reff:
Ada cerita tentang aku dan dia
Dan kita bersama saat dulu kala
Ada cerita tentang masa yang indah
Saat kita berduka saat kita tertawa
Teringat di saat kita tertawa bersama
Ceritakan semua tentang kita
back to : Reff"
Sa Rindu Ko,Glenn Sebastian,53,"sering ko tanya kenapa sa begini
ko juga punya hati pasti ko mengerti ini
jauh ko dimata sa hanya tenang dihati
bersandar deng harap
sa berdoa
sa rindu ko yang bikin sa begini
bukan sa benci tapi karna sa sedih
lihat ko deng orang senyum bahagia
sa tahan rindu disini deng hati susah
sa harap ko bisa tetap setia
jaga hubungan yang tong janji selamanya
tunggu sa nanti pasti bale sayang
tunggu sa nanti pasti datang
sio sayang
cinta harus kuat dan sabar menunggu
rindu ini biasa curhat di lagu
sedih dan galau dan tak menggangu
biar sa begini tra usah ko ragu
susah dan dorang yang liat ko senyum
sudah ko mengerti ataukah belum
kadang ini yang bikin sa begini
sayang tolong lah sa susah disini
lama tak bersama rindu yang hantui rasa
penuh bayang bersama angan cuma bisa hati susah
kini cuma jadi pemisah biar jauh jadi rindu
lupa jarak yang hatiku peluk angan tapi tak bisa-bisa
kadang hatiku marah senyum juga paksa
bibir ucap rindu jarak yang buat sa jadi bisu
lewat doa sa minta agar cepat sa berjumpa
sa coba tepis rindu ini lewat telefon
tanya kabar hari ini su makan kah belom
da bikin apa sama siapa ko dimana sa rindu ko
sayangw so sayange
sa rindu ko yang bikin sa begini
bukan sa benci tapi karna sa sedih
lihatmu deng orang senyum bahagia
sa tahan rindu disini deng hati susah
sa harap ko bisa tetap setia
jaga hubungan yang tong janji selamanya
tunggu sa nanti pasti bale sayang
tunggu sa nanti pasti datang
sio sayang
cinta ku ini jangan kau ragu
salam ini ku tuangkan lewat lagu
biar rindu ini kan menggebu
sa tetap tahan untuk menunggu
sa rindu sa salah
ko merasa mengalah
tapi jarak deng waktu takkan buat sa lelah
harus ko tau bahwa sa susah
sa bertahan demi ko pu cinta dan sa bersumpah
sa biarkan waktu yang bicara
sa terpapa ikuti perantara
sa percaya semua ini sementara
ada waktu nanti bersatu berjalan satu arah
cinta harus ada perjuangan
bahagia tak semudah yang dipikirkan
untuk saat ini tahan perasaan
coba sa jalani
lama tak berjumpa
sa rindu setengah mati
tapi karna cinta
bikin sa pun menanti
di saat sa rindu kadang sa marah
tapi mulut paksa hati tuk tak bicara
maaf bila cinta tong begini
sabar pasti sa kan kembali
sa rindu ko yang bikin sa begini
bukan sa benci tapi karna sa sedih
lihatmu deng orang senyum bahagia
sa tahan rindu disini deng hati susah
sa harap ko bisa tetap setia
jaga hubungan yang tong janji selamanya
tunggu sa nanti pasti bale sayang
tunggu sa nanti pasti datang
sio sayang"
