track,artist,popularity,lyrics,sentiment,lyrics_clean
Perkara Tubuh,Hindia,47,"Aku tak nyaman dengan tubuhku
Habiskan dua jam berganti baju
Aku tak nyaman dengan k'palaku
Habis seumur hidup ditopang dagu
Aku tak nyaman dengan mataku
Tak terlihat hidup di bawah lampu
Aku tak nyaman dengan rambutku
Dengan tipe potongan apa pun itu
Aku tak nyaman dengan diriku
Serta semua dari lahir begitu
Aku tak nyaman dengan diriku
Banyak yang jelas salah dalam hatiku
Aku tak nyaman dengan diriku
Hangus di dalam batin, aku membiru
Aku tak nyaman dengan diriku
Hanya mulia dalam doa ibuku
Aku tak nyaman dengan mulutku
Sulit diajak sopan saat berguru
Aku tak nyaman dengan perutku
Tahan nafas terus sampai membeku
Aku tak nyaman dengan jariku
Menguning dengan jelas mengisap abu
Aku tak nyaman dengan pundakku
Dua nomor di atas ukuran baju
Aku tak nyaman dengan diriku
Serta semua dari lahir begitu
Aku tak nyaman dengan diriku
Banyak yang jelas salah dalam hatiku
Aku tak nyaman dengan diriku
Hangus di dalam batin, aku membiru
Aku tak nyaman dengan diriku
Hanya mulia dalam doa ibuku
Aku tak nyaman dengan batinku
Terlalu sering ingin menutup buku
Aku tak nyaman dengan batinku
Perlahan menghancurkan dalam diriku
Aku tak nyaman dengan batinku
Percobaan bunuh diri di dalam saku
Aku tak nyaman dengan batinku
Kau juga kabari jika begitu",lumayan populer,aku tak nyaman dengan tubuhku habiskan dua jam berganti baju aku tak nyaman dengan kpalaku habis seumur hidup ditopang dagu aku tak nyaman dengan mataku tak terlihat hidup di bawah lampu aku tak nyaman dengan rambutku dengan tipe potongan apa pun itu aku tak nyaman dengan diriku serta semua dari lahir begitu aku tak nyaman dengan diriku banyak yang jelas salah dalam hatiku aku tak nyaman dengan diriku hangus di dalam batin aku membiru aku tak nyaman dengan diriku hanya mulia dalam doa ibuku aku tak nyaman dengan mulutku sulit diajak sopan saat berguru aku tak nyaman dengan perutku tahan nafas terus sampai membeku aku tak nyaman dengan jariku menguning dengan jelas mengisap abu aku tak nyaman dengan pundakku dua nomor di atas ukuran baju aku tak nyaman dengan diriku serta semua dari lahir begitu aku tak nyaman dengan diriku banyak yang jelas salah dalam hatiku aku tak nyaman dengan diriku hangus di dalam batin aku membiru aku tak nyaman dengan diriku hanya mulia dalam doa ibuku aku tak nyaman dengan batinku terlalu sering ingin menutup buku aku tak nyaman dengan batinku perlahan menghancurkan dalam diriku aku tak nyaman dengan batinku percobaan bunuh diri di dalam saku aku tak nyaman dengan batinku kau juga kabari jika begitu
Maaf Cintaku,Iwan Fals,47,"Ingin kuludahi mukamu yang cantik
Agar kau mengerti bahwa kau memang cantik
Ingin kucongkel keluar indah matamu
Agar engkau tahu memang indah matamu
Harus kuakui bahwa aku pengecut
Untuk menciummu juga merabamu
Namun aku tak takut untuk ucapkan
Segudang kata cinta padamu
Mengertilah
Perempuanku
Jalan masih teramat jauh
Mustahil berlabuh
Bila dayung tak terkayuh
Maaf cintaku
Aku menggurui kamu
Mengertilah
Perempuanku
Jalan masih teramat jauh
Mustahil berlabuh
Bila dayung tak terkayuh
Maaf cintaku
Aku nasehati kamu
Maaf cintaku
Aku menggurui kamu
Maaf cintaku
Aku nasehati kamu
Maaf cintaku
Aku menggurui kamu",lumayan populer,ingin kuludahi mukamu yang cantik agar kau mengerti bahwa kau memang cantik ingin kucongkel keluar indah matamu agar engkau tahu memang indah matamu harus kuakui bahwa aku pengecut untuk menciummu juga merabamu namun aku tak takut untuk ucapkan segudang kata cinta padamu mengertilah perempuanku jalan masih teramat jauh mustahil berlabuh bila dayung tak terkayuh maaf cintaku aku menggurui kamu mengertilah perempuanku jalan masih teramat jauh mustahil berlabuh bila dayung tak terkayuh maaf cintaku aku nasehati kamu maaf cintaku aku menggurui kamu maaf cintaku aku nasehati kamu maaf cintaku aku menggurui kamu
Cinta Pertama Dan Terakhir,Mawar de Jongh,47,"Sebelumnya tak ada yang mampu
Mengajakku untuk bertahan
Di kala sedih
Sebelumnya ku ikat hatiku
Hanya untuk aku seorang
Sekarang kau di sini hilang rasanya
Semua bimbang tangis kesepian
Kau buat aku bertanya
Kau buat aku mencari
Tentang rasa ini
Aku tak mengerti
Akankah sama jadinya
Bila bukan kamu
Lalu senyummu menyadarkanku
Kau cinta pertama dan terakhirku
Sebelumnya tak mudah bagiku
Tertawa sendiri di kehidupan
Yang kelam ini
Sebelumnya rasanya tak perlu
Membagi kisahku saat ada yang mengerti
Sekarang kau di sini hilang rasanya
Semua bimbang tangis kesepian
Kau buat aku bertanya
Kau buat aku mencari
Tentang rasa ini
Aku tak mengerti
Akankah sama jadinya
Bila bukan kamu
Lalu senyummu menyadarkanku
Kau cinta pertama dan terakhirku
Bila suatu saat kau harus pergi
Jangan paksa aku 'tuk cari yang lebih baik
Karena senyummu menyadarkanku
Kaulah cinta pertama dan terakhirku
Kau buat aku bertanya
Kau buat aku mencari
Tentang rasa ini
Aku tak mengerti
Akankah sama jadinya
Bila bukan kamu
Lalu senyummu menyadarkanku
Kau cinta pertama dan terakhirku",lumayan populer,sebelumnya tak ada yang mampu mengajakku untuk bertahan di kala sedih sebelumnya ku ikat hatiku hanya untuk aku seorang sekarang kau di sini hilang rasanya semua bimbang tangis kesepian kau buat aku bertanya kau buat aku mencari tentang rasa ini aku tak mengerti akankah sama jadinya bila bukan kamu lalu senyummu menyadarkanku kau cinta pertama dan terakhirku sebelumnya tak mudah bagiku tertawa sendiri di kehidupan yang kelam ini sebelumnya rasanya tak perlu membagi kisahku saat ada yang mengerti sekarang kau di sini hilang rasanya semua bimbang tangis kesepian kau buat aku bertanya kau buat aku mencari tentang rasa ini aku tak mengerti akankah sama jadinya bila bukan kamu lalu senyummu menyadarkanku kau cinta pertama dan terakhirku bila suatu saat kau harus pergi jangan paksa aku tuk cari yang lebih baik karena senyummu menyadarkanku kaulah cinta pertama dan terakhirku kau buat aku bertanya kau buat aku mencari tentang rasa ini aku tak mengerti akankah sama jadinya bila bukan kamu lalu senyummu menyadarkanku kau cinta pertama dan terakhirku
Ginio,Gildcoustic,47,"Aku kelingan sliramu
Medot tresno segampang iku
Opo koe uwis lali
Marang sumpah seng mbok sanggupi
Janji sing mbien jarene mbok tepati
Opo pancen aku kleru
Opo wes duwe sing luih aku
Aku lilo nompo, tapi atiku ora trimo
Nyawang sliramu disanding wong liyo
Kurangku opo jajal kowe ngomongo
Masalah sepele ojo di gawe dowo
Tulung jelasno neng aku sayang
Opo pengorbananku iseh kurang
Aku mbok bandingke, Karo wong sing sugeh kae
Yo jelas nemen aku ra mampu
Wes cukup aku mbok apusi
Dramamu wes cukup aku ngerti
Elingo rasane atiku iki
Matursembahnuwun sampun nate nglarani
Wes cukup aku mbok apusi
Dramamu wes cukup aku ngerti
Elingo rasane atiku iki
Matursembahnuwun sampun nate nglarani
Matursembahnuwun ninggal loro ning ati
Cerito ngeneki ora bakal tak baleni",lumayan populer,aku kelingan sliramu medot tresno segampang iku opo koe uwis lali marang sumpah seng mbok sanggupi janji sing mbien jarene mbok tepati opo pancen aku kleru opo wes duwe sing luih aku aku lilo nompo tapi atiku ora trimo nyawang sliramu disanding wong liyo kurangku opo jajal kowe ngomongo masalah sepele ojo di gawe dowo tulung jelasno neng aku sayang opo pengorbananku iseh kurang aku mbok bandingke karo wong sing sugeh kae yo jelas nemen aku ra mampu wes cukup aku mbok apusi dramamu wes cukup aku ngerti elingo rasane atiku iki matursembahnuwun sampun nate nglarani wes cukup aku mbok apusi dramamu wes cukup aku ngerti elingo rasane atiku iki matursembahnuwun sampun nate nglarani matursembahnuwun ninggal loro ning ati cerito ngeneki ora bakal tak baleni
Bunuh Idolamu,Hindia,46,"Bunuh idolamu
Atau biarkan mereka hancurkan diri sendiri
Mau tak mau
Bertengkar mengejar hal yang hanya sekejap berarti
Kau nilai dirimu
Hanya dari banyak pekerjaanmu
Kau nilai dirimu
Dari nama-nama yang kaukenal
Kalian berdua sama saja
Oh, sedikit-banyak yang kupikirkan
Tak pernah tega 'tuk kuucapkan
Oh, terlalu banyak kusembunyikan
Kar'na ku tahu jika ku menyanggah
Kaubilang aku egois, dramatis, oh, aku yang salah
Ku tak mau tahu
Pertikaian yang lahir kar'na kau belum usai dengan dirimu
(Belum usai dengan dirimu)
Berpura tak tahu
Tapi kupegang rahasia kalian semua satu per satu
(Satu per satu)
Ku tak mau tahu (tak mau tahu)
Setelah ini, ku bernyanyi hal lain dan berlagak membisu
Sudah cukup sibuk
Menjaga hatiku di tengah dunia yang semakin berdebu
Oh, sedikit-banyak yang kupikirkan
Tak pernah tega 'tuk kuucapkan
Oh, terlalu banyak kusembunyikan
Aku makamkan
Jangan kau banyak bicara
Kau juga sama buruknya
Jari tengah untukmu, Kawan
Sana, lanjut jual namaku
Aku sudah lelah mengalah
Aku yang pertama dirugikan
Aku tak mengerti keadaan
Aku yang egois, dramatis, apatis
Masih banyak yang kurasakan
Masih banyak hal yang kubenci
Bermodalkan kedua tangan
Kucekek kau di dalam mimpi
Terkadang kusebut namamu
Oh, Tuhan, selamatkan aku
Benci ini sungguh mengganggu
Berkaca, bunuh idolaku
Oh, sedikit-banyak yang kupikirkan
Tak pernah tega 'tuk kuucapkan
Oh, terlalu banyak kusembunyikan
Dalam doaku, kukunci diriku
Oh, sedikit-banyak yang kupikirkan (kupikirkan)
Tak pernah tega (ku tak pernah tega) 'tuk kuucapkan (ucapkan)
Oh, terlalu banyak (banyak) kusembunyikan (sembunyikan)
Dalam doaku, kukunci diriku",lumayan populer,bunuh idolamu atau biarkan mereka hancurkan diri sendiri mau tak mau bertengkar mengejar hal yang hanya sekejap berarti kau nilai dirimu hanya dari banyak pekerjaanmu kau nilai dirimu dari namanama yang kaukenal kalian berdua sama saja oh sedikitbanyak yang kupikirkan tak pernah tega tuk kuucapkan oh terlalu banyak kusembunyikan karna ku tahu jika ku menyanggah kaubilang aku egois dramatis oh aku yang salah ku tak mau tahu pertikaian yang lahir karna kau belum usai dengan dirimu belum usai dengan dirimu berpura tak tahu tapi kupegang rahasia kalian semua satu per satu satu per satu ku tak mau tahu tak mau tahu setelah ini ku bernyanyi hal lain dan berlagak membisu sudah cukup sibuk menjaga hatiku di tengah dunia yang semakin berdebu oh sedikitbanyak yang kupikirkan tak pernah tega tuk kuucapkan oh terlalu banyak kusembunyikan aku makamkan jangan kau banyak bicara kau juga sama buruknya jari tengah untukmu kawan sana lanjut jual namaku aku sudah lelah mengalah aku yang pertama dirugikan aku tak mengerti keadaan aku yang egois dramatis apatis masih banyak yang kurasakan masih banyak hal yang kubenci bermodalkan kedua tangan kucekek kau di dalam mimpi terkadang kusebut namamu oh tuhan selamatkan aku benci ini sungguh mengganggu berkaca bunuh idolaku oh sedikitbanyak yang kupikirkan tak pernah tega tuk kuucapkan oh terlalu banyak kusembunyikan dalam doaku kukunci diriku oh sedikitbanyak yang kupikirkan kupikirkan tak pernah tega ku tak pernah tega tuk kuucapkan ucapkan oh terlalu banyak banyak kusembunyikan sembunyikan dalam doaku kukunci diriku
Bunga Tidur,Nadin Amizah,46,"Bunga tidur, apa kabarmu pagi ini, sayang?
Kau terbangun di antara nyaringnya rambu perpisahan
Siapa yang telah membuatmu penuh malu?
Terpatri dalam, kau tak baik 'tuk diusahakan
Jangan pergi dulu
Biar waktu berlalu
Dan semua sakitmu
Yang kau bawa akan runtuh
Bunga tidur, engkau penuh takut
Lama percaya kau penghancur seisi dunia
Apapun yang engkau dekap, terbakar dan mengabu
Siapa yang telah membuatmu penuh malu?
Terpatri dalam, kau tak baik 'tuk diusahakan
Jangan pergi dulu
Biar waktu berlalu
Dan semua sakitmu
Yang kau bawa akan runtuh
Bunga tidur, engkau penuh takut
Aku juga masih penuh takut
Aku tahu engkau penuh takut",lumayan populer,bunga tidur apa kabarmu pagi ini sayang kau terbangun di antara nyaringnya rambu perpisahan siapa yang telah membuatmu penuh malu terpatri dalam kau tak baik tuk diusahakan jangan pergi dulu biar waktu berlalu dan semua sakitmu yang kau bawa akan runtuh bunga tidur engkau penuh takut lama percaya kau penghancur seisi dunia apapun yang engkau dekap terbakar dan mengabu siapa yang telah membuatmu penuh malu terpatri dalam kau tak baik tuk diusahakan jangan pergi dulu biar waktu berlalu dan semua sakitmu yang kau bawa akan runtuh bunga tidur engkau penuh takut aku juga masih penuh takut aku tahu engkau penuh takut
"Kami Khawatir, Kawan",Hindia,46,"Kali ini, ke mana lagi
Kauajak tas ranselmu pergi?
Kami khawatir, Kawan
Sumpah, sudah berapa kali
Kaubilang tak mungkin kembali
Kami khawatir, Kawan
Kau tahu ku tahu
Betapa beracunnya benakmu
Bertahan melawan sumpah
Serapah di rumah
Ku tahu kau tahu
Tak mudah membelah antah-berantah
Berkali-kali kita ulangi
Ayo pulang, Kawan
Masuk dulu, hujan
Kau menyerah, sakit hati
Pasti lelah bertengkar lagi
Dengan ayahmu, Kawan
Percayalah, dengar kami
Banyak yang rindu dan peduli
Kakakmu dan kawan-kawan
Pasti ada waktunya nanti
Kaubayar semuanya sendiri
Tapi tak sekarang, Kawan
Dan jikalau jengah, kami mengerti
Namun, jangan enggan dicari
Hampiri kawan-kawan, hm-hm-hm-hm-hm
Kau tahu ku tahu
Betapa beracunnya benakmu
Bertahan melawan sumpah
Serapah di rumah
Ku tahu kau tahu
Tak mudah membelah antah-berantah
Berkali-kali kita ulangi
Ayo pulang, Kawan
Masuk dulu, hujan
Ada waktunya nanti
Kau bisa menjauh pergi
Namun belum, Kawan
Masuk dulu, hujan
Ada caranya melepas diri
Waktu yang tepat untuk dirimu pergi
Namun, tidak seperti ini
Namun, jangan menghilang lagi, Kawan",lumayan populer,kali ini ke mana lagi kauajak tas ranselmu pergi kami khawatir kawan sumpah sudah berapa kali kaubilang tak mungkin kembali kami khawatir kawan kau tahu ku tahu betapa beracunnya benakmu bertahan melawan sumpah serapah di rumah ku tahu kau tahu tak mudah membelah antahberantah berkalikali kita ulangi ayo pulang kawan masuk dulu hujan kau menyerah sakit hati pasti lelah bertengkar lagi dengan ayahmu kawan percayalah dengar kami banyak yang rindu dan peduli kakakmu dan kawankawan pasti ada waktunya nanti kaubayar semuanya sendiri tapi tak sekarang kawan dan jikalau jengah kami mengerti namun jangan enggan dicari hampiri kawankawan hmhmhmhmhm kau tahu ku tahu betapa beracunnya benakmu bertahan melawan sumpah serapah di rumah ku tahu kau tahu tak mudah membelah antahberantah berkalikali kita ulangi ayo pulang kawan masuk dulu hujan ada waktunya nanti kau bisa menjauh pergi namun belum kawan masuk dulu hujan ada caranya melepas diri waktu yang tepat untuk dirimu pergi namun tidak seperti ini namun jangan menghilang lagi kawan
Dermaga,Idgitaf,46,"Terlepas dari mauku
Kuterima kapal baru
Berharap akan jadi sesuatu
Tapi ternyata dia pergi
Lalu ku sendiri lagi
Berharap kapal lain tak begini
Memulai saja sudah berat bagiku
Apalagi harus mengakhiri
Adakah
Yang kan bertahan lama
Dermaga sudah letih merana
Tambatkan kapal ragam pesona
Tapi percuma
Berakhir pergi juga
Mengakhiri saja sudah berat bagiku
Apalagi harus memulai yang baru
Adakah
Yang kan bertahan lama
Dermaga sudah letih merana
Tambatkan kapal ragam pesona
Tapi percuma
Berakhir pergi juga
Adakah
Yang kan bertahan lama
Dermaga sudah letih merana
Tambatkan kapal ragam pesona
Tapi percuma
Berakhir pergi juga
Berakhir pergi juga",lumayan populer,terlepas dari mauku kuterima kapal baru berharap akan jadi sesuatu tapi ternyata dia pergi lalu ku sendiri lagi berharap kapal lain tak begini memulai saja sudah berat bagiku apalagi harus mengakhiri adakah yang kan bertahan lama dermaga sudah letih merana tambatkan kapal ragam pesona tapi percuma berakhir pergi juga mengakhiri saja sudah berat bagiku apalagi harus memulai yang baru adakah yang kan bertahan lama dermaga sudah letih merana tambatkan kapal ragam pesona tapi percuma berakhir pergi juga adakah yang kan bertahan lama dermaga sudah letih merana tambatkan kapal ragam pesona tapi percuma berakhir pergi juga berakhir pergi juga
Kenangan Terindah,Mahen,46,"Aku yang lemah tanpamu
Aku yang rentan karena
Cinta yang t'lah hilang darimu
Yang mampu menyanjungku
Selama mata terbuka
Sampai jantung tak berdetak
Selama itu pun aku
mampu untuk mengenangmu
Darimu, kutemukan hidupku
Bagiku, kaulah cinta sejati
Yeah, hoo, hoo (darimu)
Bagiku, engkaulah cinta sejati
Bila yang tertulis untukku
Adalah yang terbaik untukmu
'Kan kujadikan kau kenangan
Yang terindah dalam hidupku
Namun takkan mudah bagiku
Meninggalkan jejak hidupmu
Yang t'lah terukir abadi
Sebagai kenangan yang terindah
Bagiku, kaulah cinta
Oo-hoo, oo-hoo
Oo-hoo
Bila yang tertulis untukku
Adalah yang terbaik untukmu
'Kan kujadikan kau kenangan
Yang terindah dalam hidupku
Namun takkan mudah bagiku
Meninggalkan jejak hidupmu
Yang t'lah terukir abadi
Sebagai kenangan yang terindah
Bila yang tertulis untukku
Adalah yang terbaik untukmu
'Kan kujadikan kau kenangan
Yang terindah dalam hidupku
Namun takkan mudah bagiku
Meninggalkan jejak hidupmu
Yang t'lah terukir abadi
Sebagai kenangan yang terindah",lumayan populer,aku yang lemah tanpamu aku yang rentan karena cinta yang tlah hilang darimu yang mampu menyanjungku selama mata terbuka sampai jantung tak berdetak selama itu pun aku mampu untuk mengenangmu darimu kutemukan hidupku bagiku kaulah cinta sejati yeah hoo hoo darimu bagiku engkaulah cinta sejati bila yang tertulis untukku adalah yang terbaik untukmu kan kujadikan kau kenangan yang terindah dalam hidupku namun takkan mudah bagiku meninggalkan jejak hidupmu yang tlah terukir abadi sebagai kenangan yang terindah bagiku kaulah cinta oohoo oohoo oohoo bila yang tertulis untukku adalah yang terbaik untukmu kan kujadikan kau kenangan yang terindah dalam hidupku namun takkan mudah bagiku meninggalkan jejak hidupmu yang tlah terukir abadi sebagai kenangan yang terindah bila yang tertulis untukku adalah yang terbaik untukmu kan kujadikan kau kenangan yang terindah dalam hidupku namun takkan mudah bagiku meninggalkan jejak hidupmu yang tlah terukir abadi sebagai kenangan yang terindah
Jangan Ditelan,Nadin Amizah,45,"Untuk dilihat
Bukan untuk dimakan
Bukan untuk disayang
Bukan untuk dicinta
Bukan untuk masa depan
Ditinggal di masa lalu
Kaki tangan terbelenggu
Hanya pandai menjengkelkan
Jangan ditelan banyak-banyak
Jangan ditelan banyak-banyak
Aku, dan pahitku, dan kotorku
Persetan siapa aku
Jangan ditelan banyak-banyak
Jangan ditelan banyak-banyak
Aku, dan pahitku, dan kotorku
Persetan siapa aku",lumayan populer,untuk dilihat bukan untuk dimakan bukan untuk disayang bukan untuk dicinta bukan untuk masa depan ditinggal di masa lalu kaki tangan terbelenggu hanya pandai menjengkelkan jangan ditelan banyakbanyak jangan ditelan banyakbanyak aku dan pahitku dan kotorku persetan siapa aku jangan ditelan banyakbanyak jangan ditelan banyakbanyak aku dan pahitku dan kotorku persetan siapa aku
1 2 3,Lalahuta,44,"Kata manis tinggallah kata
Murahnya harga janji setia
Semua tuturmu
Kau telan sendiri
Ingat dulu engkau berjanji
Di hatimu takkan ada lagi
Tersisa rongga untuk
Cinta yang lain
Bila saja mudah kau gantikan aku
Mengapa kau bilang ku nomor satu
Di hatimu
Kau bilang dunia milik berdua
Mengapa engkau tega mendua
Saat di hatiku hanya kau satu-satunya
Ketika hati ini bertanya
Yang manakah cinta di hatimu
Aku atau dirinya
1 2 3
Dan kau memilih dia
Bila benar kau cinta mati
Tak akan mudah hatimu lagi
Terbuka lebar untuk
Cinta yang lain
Kau bilang dunia milik berdua
Mengapa engkau tega mendua
Saat di hatiku hanya kau satu-satunya
Ketika hati ini bertanya
Yang manakah cinta di hatimu
Aku atau dirinya
1 2 3
Dan kau memilih dia
Ketika hati ini bertanya
Yang manakah cinta di hatimu
Aku atau dirinya
1 2 3
Dan kau memilih dia
1 2 3
Dan kau memilih dia",lumayan populer,kata manis tinggallah kata murahnya harga janji setia semua tuturmu kau telan sendiri ingat dulu engkau berjanji di hatimu takkan ada lagi tersisa rongga untuk cinta yang lain bila saja mudah kau gantikan aku mengapa kau bilang ku nomor satu di hatimu kau bilang dunia milik berdua mengapa engkau tega mendua saat di hatiku hanya kau satusatunya ketika hati ini bertanya yang manakah cinta di hatimu aku atau dirinya dan kau memilih dia bila benar kau cinta mati tak akan mudah hatimu lagi terbuka lebar untuk cinta yang lain kau bilang dunia milik berdua mengapa engkau tega mendua saat di hatiku hanya kau satusatunya ketika hati ini bertanya yang manakah cinta di hatimu aku atau dirinya dan kau memilih dia ketika hati ini bertanya yang manakah cinta di hatimu aku atau dirinya dan kau memilih dia dan kau memilih dia
Pengingat,Good Morning Everyone,44,"Teruntuk dirimu yang menjadi teman hidupku
Kutuliskan lagu sebagai pengingat untukmu
Menjalani hidup bersamaku memang tak mudah
Namun kuharapkan engkau tak kan menyerah
Semua pengorbananmu tak mungkin bisa ku lupa
Begitupun salahku yang tak terhitung jumlahnya
Tapi selalu saja kau berikan sempatan untukku
Terimakasih karena kau teramat baik padaku
Kita selalu berjanji untuk saling setia
Kan ku ingatkan lagi bisa saja kau lupa
Betapapun hebatnya pertengkaran kita
Good Morning Everyone
Satu hal yang harus kau sadari
Kau dan aku saling mencintai
Teruntuk dirimu yang menjadi teman hidupku
Kutuliskan lagu sebagai pengingat untukmu
Menjalani hidup bersamaku memang tak mudah
Namun kuharapkan engkau tak kan menyerah
Kita selalu berjanji untuk saling setia
Kan ku ingatkan lagi bisa saja kau lupa
Betapapun hebatnya pertengkaran kita
Satu hal yang harus kau sadari
Kau dan aku saling mencintai
Kita selalu berjanji untuk saling setia
Kan ku ingatkan lagi bisa saja kau lupa
Betapapun hebatnya pertengkaran kita
Satu hal yang harus kau sadari
Kau dan aku saling mencintai
Betapapun hebatnya pertengkaran kita
Satu hal yang harus kau sadari
Kau dan aku saling mencintai",lumayan populer,teruntuk dirimu yang menjadi teman hidupku kutuliskan lagu sebagai pengingat untukmu menjalani hidup bersamaku memang tak mudah namun kuharapkan engkau tak kan menyerah semua pengorbananmu tak mungkin bisa ku lupa begitupun salahku yang tak terhitung jumlahnya tapi selalu saja kau berikan sempatan untukku terimakasih karena kau teramat baik padaku kita selalu berjanji untuk saling setia kan ku ingatkan lagi bisa saja kau lupa betapapun hebatnya pertengkaran kita good morning everyone satu hal yang harus kau sadari kau dan aku saling mencintai teruntuk dirimu yang menjadi teman hidupku kutuliskan lagu sebagai pengingat untukmu menjalani hidup bersamaku memang tak mudah namun kuharapkan engkau tak kan menyerah kita selalu berjanji untuk saling setia kan ku ingatkan lagi bisa saja kau lupa betapapun hebatnya pertengkaran kita satu hal yang harus kau sadari kau dan aku saling mencintai kita selalu berjanji untuk saling setia kan ku ingatkan lagi bisa saja kau lupa betapapun hebatnya pertengkaran kita satu hal yang harus kau sadari kau dan aku saling mencintai betapapun hebatnya pertengkaran kita satu hal yang harus kau sadari kau dan aku saling mencintai
Nadin Amizah,Nadin Amizah,44,"Gadis kecilku
Lihat kamu
Banyak mimpimu
Sudah terwujud
Kedua tanganmu
Yang penuh lepuh
Kau dekap erat
Abu yang jatuh
Sepertinya ku ingin terus mencoba
Kemarin malam akhirnya tangisnya reda
Dan hari ini
Selesai berlari
Aku yang ini
Akan kembali
Dan ku tahu aku kecil, tahu
Siapapun aku, apapun yang ku tahu
Kurang banyak, masih belum cukup
Tapi ku panggil namanya
""Hai, Nadin Amizah""
""Ku tahu kamu""
Sepertinya ku ingin terus mencoba
Kemarin malam akhirnya tangisnya reda
Dan hari ini
Selesai berlari
Aku yang ini
Akan kembali
Dan ku tahu aku kecil, tahu
Siapapun aku, apapun yang ku tahu
Kurang banyak, masih belum cukup
Tapi ku panggil namanya
""Hai, Nadin Amizah""
""Ku tahu kamu""",lumayan populer,gadis kecilku lihat kamu banyak mimpimu sudah terwujud kedua tanganmu yang penuh lepuh kau dekap erat abu yang jatuh sepertinya ku ingin terus mencoba kemarin malam akhirnya tangisnya reda dan hari ini selesai berlari aku yang ini akan kembali dan ku tahu aku kecil tahu siapapun aku apapun yang ku tahu kurang banyak masih belum cukup tapi ku panggil namanya hai nadin amizah ku tahu kamu sepertinya ku ingin terus mencoba kemarin malam akhirnya tangisnya reda dan hari ini selesai berlari aku yang ini akan kembali dan ku tahu aku kecil tahu siapapun aku apapun yang ku tahu kurang banyak masih belum cukup tapi ku panggil namanya hai nadin amizah ku tahu kamu
Mungkin Nanti,Noah,60,"Saatnya ku berkata mungkin yang terakhir kalinya
Sudahlah lepaskan semua kuyakin inilah waktunya
Mungkin saja kau bukan yang dulu lagi
Mungkin saja rasa itu telah pergi
Dan mungkin bila nanti kita kan bertemu lagi
Satu pintaku jangan kau coba tanyakan kembali
Rasa yang kutinggal mati
Seperti hari kemarin saat semua disini
Dan bila hatimu termenung bangun dari mimpi-mimpimu
Membuka hatimu yang dulu cerita saat bersamaku
Mungkin saja kau bukan yang dulu lagi
Mungkin saja rasa itu telah pergi
Tak usah kau tanyakan lagi
Simpan untukmu sendiri
Semua sesal yang kau cari
Semua rasa yang kau beri",sangat populer,saatnya ku berkata mungkin yang terakhir kalinya sudahlah lepaskan semua kuyakin inilah waktunya mungkin saja kau bukan yang dulu lagi mungkin saja rasa itu telah pergi dan mungkin bila nanti kita kan bertemu lagi satu pintaku jangan kau coba tanyakan kembali rasa yang kutinggal mati seperti hari kemarin saat semua disini dan bila hatimu termenung bangun dari mimpimimpimu membuka hatimu yang dulu cerita saat bersamaku mungkin saja kau bukan yang dulu lagi mungkin saja rasa itu telah pergi tak usah kau tanyakan lagi simpan untukmu sendiri semua sesal yang kau cari semua rasa yang kau beri
Peri Cintaku,Ziva Magnolya,58,"Di dalam hati ini, hanya satu nama
Yang ada di tulus hati kuingini
Kesetiaan yang indah takkan tertandingi
Hanyalah dirimu, satu peri cintaku
Benteng begitu tinggi
Sulit untuk kugapai, ho-oh
Aku untuk kamu
Kamu untuk aku
Namun semua, apa mungkin
Iman kita yang berbeda?
Tuhan memang satu
Kita yang tak sama
Haruskah aku lantas pergi
Meski cinta takkan bisa pergi?
Ho-oh-ho-oh
Ho-oh, benteng begitu tinggi
Sulit untuk kugapai, oh
Aku untuk kamu
Kamu untuk aku
Namun semua, apa mungkin
Iman kita yang berbeda?
Tuhan memang satu
Kita yang tak sama
Haruskah aku lantas pergi
Meski cinta takkan bisa pergi?
Bukankah cinta anug'rah
Berikan aku kesempatan
'Tuk menjaganya sepenuh jiwa? Ho-oh
Aku untuk kamu
Kamu untuk aku
Namun semua, apa mungkin
Iman kita yang berbeda?
Tuhan memang satu
Kita (kita) yang tak sama (yang tak sama)
Haruskah aku lantas pergi
Meski cinta takkan bisa pergi? Ho-oh
Namun semua, apa mungkin
Iman kita yang berbeda?
Tuhan memang satu
Kita yang tak sama
Haruskah aku lantas pergi
Meski cinta takkan bisa pergi?
Ho-oh-hm-mm",lumayan populer,di dalam hati ini hanya satu nama yang ada di tulus hati kuingini kesetiaan yang indah takkan tertandingi hanyalah dirimu satu peri cintaku benteng begitu tinggi sulit untuk kugapai hooh aku untuk kamu kamu untuk aku namun semua apa mungkin iman kita yang berbeda tuhan memang satu kita yang tak sama haruskah aku lantas pergi meski cinta takkan bisa pergi hoohhooh hooh benteng begitu tinggi sulit untuk kugapai oh aku untuk kamu kamu untuk aku namun semua apa mungkin iman kita yang berbeda tuhan memang satu kita yang tak sama haruskah aku lantas pergi meski cinta takkan bisa pergi bukankah cinta anugrah berikan aku kesempatan tuk menjaganya sepenuh jiwa hooh aku untuk kamu kamu untuk aku namun semua apa mungkin iman kita yang berbeda tuhan memang satu kita kita yang tak sama yang tak sama haruskah aku lantas pergi meski cinta takkan bisa pergi hooh namun semua apa mungkin iman kita yang berbeda tuhan memang satu kita yang tak sama haruskah aku lantas pergi meski cinta takkan bisa pergi hoohhmmm
